annais,sexe,preusuel,rank
1925,1,PIERRE,3.0
1925,1,RENÉ,4.0
1925,1,ROGER,5.0
1925,1,MARCEL,6.0
1925,1,ROBERT,7.0
1925,1,GEORGES,8.0
1925,1,HENRI,9.0
1925,1,LOUIS,10.0
1925,2,MARIE,1.0
1925,2,JEANNE,2.0
1925,2,JACQUELINE,3.0
1925,2,DENISE,4.0
1925,2,ODETTE,5.0
1925,2,MADELEINE,6.0
1925,2,SUZANNE,7.0
1925,2,PAULETTE,8.0
1925,2,SIMONE,9.0
1925,2,YVONNE,10.0
1926,1,JEAN,1.0
1926,1,ANDRÉ,2.0
1926,1,PIERRE,3.0
1926,1,RENÉ,4.0
1926,1,ROGER,5.0
1926,1,ROBERT,6.0
1926,1,MARCEL,7.0
1926,1,JACQUES,8.0
1926,1,GEORGES,9.0
1926,1,HENRI,11.0
1926,2,MARIE,1.0
1926,2,JEANNE,2.0
1926,2,JACQUELINE,3.0
1926,2,DENISE,4.0
1926,2,JEANNINE,5.0
1926,2,PAULETTE,6.0
1926,2,SUZANNE,7.0
1926,2,MADELEINE,8.0
1926,2,ODETTE,9.0
1926,2,SIMONE,10.0
1927,1,JEAN,1.0
1927,1,ANDRÉ,2.0
1927,1,PIERRE,3.0
1927,1,RENÉ,4.0
1927,1,ROGER,5.0
1927,1,ROBERT,6.0
1927,1,MARCEL,7.0
1927,1,JACQUES,8.0
1927,1,GEORGES,9.0
1927,1,HENRI,10.0
1927,2,MARIE,1.0
1927,2,JEANNE,2.0
1927,2,JACQUELINE,3.0
1927,2,JEANNINE,4.0
1927,2,DENISE,5.0
1927,2,PAULETTE,6.0
1927,2,YVETTE,7.0
1927,2,ODETTE,8.0
1927,2,MADELEINE,9.0
1927,2,SIMONE,10.0
1928,1,JEAN,1.0
1928,1,ANDRÉ,2.0
1928,1,PIERRE,3.0
1928,1,RENÉ,4.0
1928,1,ROGER,5.0
1928,1,ROBERT,6.0
1928,1,MARCEL,7.0
1928,1,JACQUES,8.0
1928,1,MICHEL,9.0
1928,1,GEORGES,10.0
1928,2,MARIE,1.0
1928,2,JACQUELINE,2.0
1928,2,JEANNE,3.0
1928,2,JEANNINE,4.0
1928,2,DENISE,5.0
1928,2,YVETTE,6.0
1928,2,PAULETTE,7.0
1928,2,ODETTE,8.0
1928,2,SIMONE,9.0
1928,2,SUZANNE,10.0
1929,1,JEAN,1.0
1929,1,ANDRÉ,2.0
1929,1,PIERRE,3.0
1929,1,RENÉ,4.0
1929,1,ROGER,5.0
1929,1,ROBERT,6.0
1929,1,MARCEL,7.0
1929,1,JACQUES,8.0
1929,1,MICHEL,9.0
1929,1,GEORGES,10.0
1929,2,MARIE,1.0
1929,2,JACQUELINE,2.0
1929,2,JEANNINE,3.0
1929,2,JEANNE,4.0
1929,2,DENISE,5.0
1929,2,YVETTE,6.0
1929,2,PAULETTE,7.0
1929,2,SIMONE,8.0
1929,2,ODETTE,9.0
1929,2,GINETTE,10.0
1930,1,JEAN,1.0
1930,1,ANDRÉ,2.0
1930,1,PIERRE,3.0
1930,1,RENÉ,4.0
1930,1,MICHEL,5.0
1930,1,ROGER,6.0
1930,1,JACQUES,7.0
1930,1,ROBERT,8.0
1930,1,MARCEL,9.0
1930,1,CLAUDE,10.0
1930,2,MARIE,1.0
1930,2,JACQUELINE,2.0
1930,2,JEANNINE,3.0
1930,2,JEANNE,4.0
1930,2,DENISE,5.0
1930,2,YVETTE,6.0
1930,2,PAULETTE,7.0
1930,2,MONIQUE,8.0
1930,2,SIMONE,9.0
1930,2,GINETTE,10.0
1931,1,JEAN,1.0
1931,1,ANDRÉ,2.0
1931,1,PIERRE,3.0
1931,1,MICHEL,4.0
1931,1,RENÉ,5.0
1931,1,ROGER,6.0
1931,1,JACQUES,7.0
1931,1,ROBERT,8.0
1931,1,MARCEL,9.0
1931,1,CLAUDE,10.0
1931,2,MARIE,1.0
1931,2,JACQUELINE,2.0
1931,2,JEANNINE,3.0
1931,2,JEANNE,4.0
1931,2,DENISE,5.0
1931,2,MONIQUE,6.0
1931,2,YVETTE,7.0
1931,2,PAULETTE,8.0
1931,2,SIMONE,9.0
1931,2,ODETTE,10.0
1932,1,JEAN,1.0
1932,1,ANDRÉ,2.0
1932,1,PIERRE,3.0
1932,1,MICHEL,4.0
1932,1,RENÉ,5.0
1932,1,ROGER,6.0
1932,1,JACQUES,7.0
1932,1,CLAUDE,8.0
1932,1,ROBERT,9.0
1932,1,MARCEL,10.0
1932,2,MARIE,1.0
1932,2,JACQUELINE,2.0
1932,2,JEANNINE,3.0
1932,2,MONIQUE,4.0
1932,2,YVETTE,5.0
1932,2,JEANNE,6.0
1932,2,DENISE,7.0
1932,2,PAULETTE,8.0
1932,2,SIMONE,9.0
1932,2,GINETTE,10.0
1933,1,JEAN,1.0
1933,1,ANDRÉ,2.0
1933,1,PIERRE,3.0
1933,1,MICHEL,4.0
1933,1,CLAUDE,5.0
1933,1,RENÉ,6.0
1933,1,JACQUES,7.0
1933,1,ROGER,8.0
1933,1,ROBERT,9.0
1933,1,MARCEL,10.0
1933,2,MARIE,1.0
1933,2,JACQUELINE,2.0
1933,2,MONIQUE,3.0
1933,2,JEANNINE,4.0
1933,2,DENISE,5.0
1933,2,YVETTE,6.0
1933,2,JEANNE,7.0
1933,2,PAULETTE,8.0
1933,2,SIMONE,9.0
1933,2,GINETTE,10.0
1934,1,JEAN,1.0
1934,1,MICHEL,2.0
1934,1,ANDRÉ,3.0
1934,1,PIERRE,4.0
1934,1,CLAUDE,5.0
1934,1,JACQUES,6.0
1934,1,RENÉ,7.0
1934,1,ROGER,8.0
1934,1,ROBERT,9.0
1934,1,MARCEL,10.0
1934,2,MARIE,1.0
1934,2,JACQUELINE,2.0
1934,2,MONIQUE,3.0
1934,2,JEANNINE,4.0
1934,2,DENISE,5.0
1934,2,YVETTE,6.0
1934,2,JEANNE,7.0
1934,2,PAULETTE,8.0
1934,2,COLETTE,9.0
1934,2,SIMONE,10.0
1935,1,JEAN,1.0
1935,1,MICHEL,2.0
1935,1,PIERRE,3.0
1935,1,ANDRÉ,4.0
1935,1,CLAUDE,5.0
1935,1,JACQUES,6.0
1935,1,RENÉ,7.0
1935,1,ROGER,8.0
1935,1,ROBERT,9.0
1935,1,BERNARD,10.0
1935,2,MARIE,1.0
1935,2,MONIQUE,2.0
1935,2,JACQUELINE,3.0
1935,2,JEANNINE,4.0
1935,2,DENISE,5.0
1935,2,YVETTE,6.0
1935,2,NICOLE,7.0
1935,2,JEANNE,8.0
1935,2,PAULETTE,9.0
1935,2,CHRISTIANE,10.0
1936,1,JEAN,1.0
1936,1,MICHEL,2.0
1936,1,CLAUDE,3.0
1936,1,PIERRE,4.0
1936,1,ANDRÉ,5.0
1936,1,JACQUES,6.0
1936,1,RENÉ,7.0
1936,1,BERNARD,8.0
1936,1,ROGER,9.0
1936,1,ROBERT,10.0
1936,2,MARIE,1.0
1936,2,MONIQUE,2.0
1936,2,JACQUELINE,3.0
1936,2,JEANNINE,4.0
1936,2,NICOLE,5.0
1936,2,COLETTE,6.0
1936,2,YVETTE,7.0
1936,2,DENISE,8.0
1936,2,CHRISTIANE,9.0
1936,2,JEANNE,10.0
1937,1,JEAN,1.0
1937,1,MICHEL,2.0
1937,1,CLAUDE,3.0
1937,1,PIERRE,4.0
1937,1,ANDRÉ,5.0
1937,1,JACQUES,6.0
1937,1,BERNARD,7.0
1937,1,RENÉ,8.0
1937,1,ROGER,9.0
1937,1,ROBERT,10.0
1937,2,MARIE,1.0
1937,2,MONIQUE,2.0
1937,2,JACQUELINE,3.0
1937,2,NICOLE,4.0
1937,2,JEANNINE,5.0
1937,2,COLETTE,6.0
1937,2,YVETTE,7.0
1937,2,CHRISTIANE,8.0
1937,2,DENISE,9.0
1937,2,JOSETTE,10.0
1938,1,JEAN,1.0
1938,1,MICHEL,2.0
1938,1,CLAUDE,3.0
1938,1,PIERRE,4.0
1938,1,ANDRÉ,5.0
1938,1,JACQUES,6.0
1938,1,BERNARD,7.0
